Category,Sms
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0786543210 AU 0786543210"
scam,"Mpigie Mzee MARIAM NDUGAI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0767274553"
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PEREGIA FILIPO,ni grp member"
scam,"Congratulations! Your CV has passed. You can get 2,000,000TZS in a day. for details: wa.me/2550789723456"
scam,"halotel PSK4 Imethibitishwa namba yako ya 065 ... imeshinda Tsh4,000,000.00/=million kutoka Tuzo Point ilikupokea ela yako piga 0696530433 Asante"
scam,tuma kwenye namba hii ya HaloPesa 0695567435 jina litakuja JUMANNE YASINI MASAKA Ukituma unijulishe
scam,"Mpigie Mzee JUMANNE YASINI MASAKA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0657538690"
trust,"Yule kipa wa Liverpool ana reflex za ajabu, amewashangaza wote."
trust,Dah! Mpaka Raha yani nimevutiwa sana
trust,Hali ya nyumbani imekaaje leo?
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA VODACOM NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
trust,"Hiyo bidhaa uliyoagiza inapatikana sasa, unahitaji kuituma lini?"
trust,Tafadhali unisaidie kuandaa kikao cha familia yetu.
trust,Nimefurahia sana jinsi ulivyosaidia kwenye kikao cha jana.
scam,Iyo ela tuma humu kwenye vodacom 0655251448 Jina lije ALLY ISSA
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550767274553.
scam,"tigo 0E7D Imethibitishwa namba yako ya 061 ... imeshinda Tsh2,000,000.00/=million kutoka VODA OFA ilikupokea ela yako piga 0615810764 Asante"
scam,Iyo Hela itume humu kwenye vodacom 0696530433 jina lije LUKA KIMBANGU.
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0676584303 au 0676584303"
scam,Basi iyo hela nitumie kwenye namba hii 0615810764 jina litakuja (JUMA SIKAREKO) ile namba usitumie laini inamatatizo.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698018072 JINA ITALETA LINUSI MALALO NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Ninaomba uniletee sukari kidogo ukitoka kazini.
scam,MZEE SALOME KALUNGA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0733822240)(0733822240)
trust,Mimi na familia yangu tunakutakia heri na baraka tele.
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,tuma kwenye namba hii ya m-pesa 0755896103 jina litakuja RAMATUNGU Ukituma unijulishe
trust,"Nahitaji msaada wako kesho, utaweza?"
scam,Iyo ela tuma humu kwenye HALOTEL 0781476081 Jina lije JUMANNE YASINI MASAKA
trust,Naomba uniunganishe na rafiki yako.
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550676584303"
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,Utanitumia. kwemye namba 0689592818 ya vodacom jina JUMA SIKAREKO.
scam,"VODA OFA hongera umepata zawadi Sh10,000,000 milioni kutoka (VODA OFA) piga sim,.0781476081 kupata zawadi  asante"
scam,Nitumie tu kwenye hii VODACOM 0782734560 jina LUKA KIMBANGU.
scam,Iyo ela tuma humu kwenye tigo 0755896103 Jina lije JOACHIM KAPUFI
scam,"Habari za mchana,mimi LINUSI MALALO,hii namba yangu ya vodacom.Vp mbona shem LINUSI MALALO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
trust,"Samahani kwa usumbufu, lakini kuna jambo muhimu."
trust,"Bro, uliona yule TikToker maarufu alipata dili la matangazo? Jamaa anazidi kufanikiwa."
scam,TUMIA NAMBA HII (0657666983)KUNITUMIA IYO HELA JINA LITAONYESHA (MWANAIDI KHAMISI)
trust,"Nimemaliza kufanya usafi, kazi nyingine ni ipi?"
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
scam,Naomba unitumie iyo ela kwenye namba hii ya Vodacom 0781476081. jina (HADIJA LAI)
scam,Au nitumie kwenye AirtelMoney Namba.0767274553 jina litakuja JENEROZA ROCK BENEDICTO
trust,Sasa kuna ubaya gani kufanya hivyo?? 
trust,Huyu mtu kapitia mazito sana aisee hakika kuna funzo kubwa sana katika yale aliyopitia
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.
scam,Habari za siku. Mimi  mwenye nyumba wako hii namba yangu ya halotel. Mbona kimya na siku zinazidi kwenda...?
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0788542784 au 0788542784"
scam,"Congratulations! Your CV has passed. You can get 6,000,000TZS in a day. for details: wa.me/2550786543210"
trust,Naomba uniwekee miadi kwa ajili ya kesho.
trust,Nashukuru kwa kupokea simu yangu. Tutalifanyia kazi tatizo hili na kurudi kwetu kwa haraka.
trust,"Timu yangu ni Manchester City, lakini nafurahia kuona PSG wakipambana."
scam,"Mpigie Mzee Magomba Maila kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0782734560"
scam,TUMIA NAMBA HII (0782734560)KUNITUMIA IYO HELA JINA LITAONYESHA (Ester kalobelo)
trust,Asante kwa kunijali na kunielewa.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0733822240 JINA ITALETA NASHONI MBIRIBI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,Ninakuombea maisha marefu na yenye furaha.
trust,Leo jioni tuna shughuli ya usafi wa mazingira. Tafadhali shiriki.
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0755896103 au 0755896103"
scam,"Mpigie Mzee FEBU SHADI WILISON kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0789723456"
scam,Nitumie tu kwenye hii Halotel 0767274553 jina JOACHIM KAPUFI.
scam,"Congratulations! Your CV has passed. You can get 6,000,000TZS in a day. for details: wa.me/2550657538690"
trust,"Ningependa kukutana na wewe ili tuzungumze kuhusu project yetu. Je, kesho inafaa?"
scam,Naomba unitumie iyo ela kwenye namba hii ya voda 0695567435. jina (LUKA KIMBANGU)
scam,0782734560 Jina litakuja JUMA SIKAREKO Nitumie kwenye hiyo TIGO
scam,Iyo ela tuma humu kwenye airtel 0695567435 Jina lije OLIVA MATIAS.
trust,"Nimepata ujumbe wako, nitakujibu baadaye."
trust,"Dah, yule TikToker maarufu ameanza kuuza bidhaa zake, watu wanasema zina bei kali sana!"
scam,"Dear, No need to go out work, just at home to earn 2,000,000TZS a day, please contact us: https://wa.me/2550755667788"
scam,MZEE LUKA KIMBANGU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0787-406-889)(0787-406-889)
scam,"Dear, No need to go out work, just at home to earn 1,500,000TZS a day, please contact us: https://wa.me/2550699137921"
trust,"Nataka tuonane leo jioni, kuna jambo muhimu nataka kukwambia."
scam,0786543210 Jina litakuja HADIJA LAI Nitumie kwenye hiyo VODACOM
trust,Pole sana brother
trust,Unakumbuka ile ahadi yako kwangu?
trust,Hiyo penalti iliyopewa Chelsea haikuwa haki kabisa!
trust,Ninashukuru sana kwa kuwa nami wakati mgumu.
scam,mjukuu wangu utafuta ji wako mgumu Pesa hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0783654321
trust,"Habari, nilikuwa na wazo la kuandaa sherehe ya kuzaliwa kwangu. Ungependa kuja?"
trust,Mmh hyu jamaa atari
trust,"Ndugu yangu, kuna dharura ya familia. Tafadhali fika nyumbani haraka iwezekanavyo ili tushirikiane kutatua tatizo."
scam,Iyo ela tuma humu kwenye Vodacom 0657538690 Jina lije JUMANNE YASINI MASAKA.
scam,Utanitumia. kwemye namba 0788542784 ya TIGO jina FEBU SHADI WILISON.
trust,Huyu mwakani namuona Simba au yanga
trust,Nilipokuwa Yanga nilikuwa nacheza nafasi ya Beki wa kati
scam,Naomba unitumie iyo Pesa kwenye namba hii ya Halotel 0755667788. jina (RAMATUNGU)
scam,Tumia namba hii ya voda 0695567435 kutuma hiyo Pesa jina LUKA KIMBANGU
scam,"We need urgently Need Staff salary 6,000,000TZS. Reach HR team at: wa.me/2550773409724."
scam,MPIGIE MZEE HOSEA MKUMBUKWA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0781476081
scam,"Mpigie Mzee MWANAIDI KHAMISI kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0654321098"
scam,Iyo ela tuma humu kwenye halotel 0781476081 Jina lije ABDALLAH MWANAKU.
scam,"Congratulations! Your CV has passed. You can get 170,000TZS in a day. for details: wa.me/2550786543210"
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506
trust,Mwenyezi Mungu aendelee kukulinda.
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?
trust,"Pole na changamoto zako, usikate tamaa."
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0733822240 UKIWA TAYARI KUJIUNGA
scam,"Habari za siku,mimi OLIVA MATIAS,hii namba yangu ya VODACOM.Vp mbona shem OLIVA MATIAS, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,Iyo ela itume humu kwenye HALOTEL 0695567435 jina lije PEREGIA FILIPO.
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0657666983
scam,tuma kwenye namba hii ya m-pesa 0617488472 jina litakuja LUKA KIMBANGU Ukituma unijulishe
trust,"Watoto wanaendelea vizuri shuleni, asante kwa msaada wako."
scam,MPIGIE MZEE KHADIJA SUMBAI WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0783582817
scam,Samahani naomba itume kwenye AIRTEL 0733822240 ALLY ISSA.
scam,Utanitumia. kwemye namba 0696530433 ya airtel jina OLIVA MATIAS.
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0784862618 au 0784862618"
scam,Iyo ela tuma humu kwenye halotel 0783582817 Jina lije JUMA SIKAREKO
trust,Hongera mtoto wa lamasimba dangote umestaili kupata tunzo
scam,Habari. Mimi  mwenye nyumba wako hii namba yangu ya HALOTEL. Mbona kimya na siku zinazidi kwenda...?
trust,Nimefurahi kusikia habari za maendeleo yako.
trust,Yule beki wa Yanga anaonekana kuwa na future bright. Ameonyesha kiwango cha hali ya juu.
scam,Iyo Hela itume humu kwenye halotel 0615810764 jina lije OLIVA MATIAS.
scam,"Dear, No need to go out work, just at home to earn 170,000TZS a day, please contact us: https://wa.me/2550786543210"
scam,"Habari za mda huu,mimi Magomba Maila,hii namba yangu ya vodacom.Vp mbona shem Magomba Maila, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,Utanitumia kwenye ii 0767274553 airtel jina HADIJA LAI namba yangu inadeni usiitumie
scam,"Habari za siku,mimi SALOME KALUNGA,hii namba yangu ya AIRTEL.Vp mbona shem SALOME KALUNGA, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
scam,"Habari,mimi LINUSI MALALO,hii namba yangu ya Halotel.Vp mbona shem LINUSI MALALO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu."
trust,"Mambo vipi? Mechi ya jana ilikuwa kali sana, uliona goli la mwisho?"
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA AIRTEL NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0716484506"
scam,Tumia namba hii ya Airtel 0786543210 kutuma hiyo ela jina Magomba Maila
trust,Tafadhali nipatie maelezo kamili kuhusu safari ya kesho.
trust,Watoto wanataka kuja kukuona wakati wa likizo.
trust,Ule wimbo wa Alikiba uliotoka jana umevuka milioni moja views! Jamaa anajua kazi.
trust,Nimepata taarifa kuwa kuna kikao kesho saa tano asubuhi.
scam,Samahani naomba itume kwenye TIGO 0789723456 LUKA KIMBANGU.
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
trust,"Kuna picha za zamani za Wema zimevuja, watu wanazizungumzia sana kwenye mitandao."
trust,Kuna drama mpya kati ya Rayvanny na Harmonize. Sijui nani yuko sahihi.
trust,Yanga wana mashabiki wa kweli. Walijitokeza kwa wingi jana uwanjani.
scam,Iyo Pesa itume humu kwenye airtel 0654321098 jina lije MWANAIDI KHAMISI.
scam,Utanitumia kwa hîi vodacom 0783582817 j'ina ni KHADIJA SUMBAI.
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0657538690"
trust,Watoto wanahitaji msaada wako kwa ajili ya masomo yao.
scam,"We need urgently Need Staff salary 4,000,000TZS. Reach HR team at: wa.me/2550782435667."
scam,Samahani naomba itume kwenye voda 0689592818 HADIJA LAI.
trust,Unajua mpaka kero kaka
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu
scam,TUMIA NAMBA HII (0675259049)KUNITUMIA IYO HELA JINA LITAONYESHA (RAMATUNGU)
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMANNE YASINI MASAKA,ni grp member"
scam,au iyo ela nitumie kwenye HaloPesa hii 0789723456 Jina litoke 0789723456.
trust,Ningependa kuzungumza nawe kidogo tu.
scam,pesa tuma kwa namba hii 0767274553 jina ALLY ISSA
trust,Noma sanaaaaaaaaaaah
scam,Iyo ela tuma humu kwenye Tigo 0698018072 Jina lije JENEROZA ROCK BENEDICTO.
trust,"Nimepata kazi mpya, nataka kusherehekea nawe."
trust,Nimefurahi sana kuona picha zako.
scam,0782435667 Jina litakuja MWANAIDI KHAMISI Nitumie kwenye hiyo Airtel
scam,MPIGIE MZEE KHADIJA SUMBAI WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0615810764
scam,Pesa tuma kwa namba hii 0767274553 jina PETER NYANGE
scam,au iyo ela nitumie kwenye AirtelMoney hii 0787-406-889 Jina litoke 0787-406-889.
scam,Iyo ela tuma humu kwenye airtel 0695567435 Jina lije LINUSI MALALO
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0755667788 au 0755667788"
scam,tigo RJSR Imethibitishwa namba yako ya 078 ... imeshinda Tsh120000.00/=million kutoka TUZO POINT ilikupokea pesa yako piga 0698018072 Asante
trust,"Habari za asubuhi baba, kuna kero ya maji nyumbani. Tutaenda kupiga simu kwa mtaa."
scam,Utanitumia kwa hîi halotel 0698945621 j'ina ni HADIJA LAI.
trust,Habari za asubuhi?
scam,"Mpigie Mzee JUMANNE YASINI MASAKA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0615810764"
trust,Tafadhali usisahau kunijulisha maendeleo
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0699137921 UKIWA TAYARI KUJIUNGA
scam,Iyo hela itume humu kwenye tigo 0747878264 jina lije SALOME KALUNGA.
scam,Naomba unitumie iyo ela kwenye namba hii ya airtel 0617488472. jina (ALLY ISSA)
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By PEREGIA FILIPO,ni grp member"
trust,Ningependa kujua kama uko tayari kwa sherehe ya harusi ya rafiki yetu.
scam,"IYO PESA ITUME KWENYE NAMBA HII 0750335946 JINA ITALETA JUMA SIKAREKO NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
scam,MZEE LINUSI MALALO tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0782734560)(0782734560)
scam,"IYO PESA ITUME KWENYE NAMBA HII 0716484506 JINA ITALETA PEREGIA FILIPO NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE"
trust,"Bro, kuna movie mpya imeachiwa leo. Je, tutazame weekend?"
scam,TUMIA NAMBA HII (0781476081)KUNITUMIA IYO HELA JINA LITAONYESHA (LUKA KIMBANGU)
trust,"Asante kwa msaada wako jana, bila wewe nisingeweza kumaliza kazi ile."
